Animal,Phase,Group,DaysOutTot,Death,DeathDate
RBi10,SGE1,NSPF1,0,no,NA
RIe6,SGE1,NSPF1,15,yes,2019-03-08
RQv5,SGE1,NSPF1,65,yes,2019-05-30
RRz6,SGE1,NSPF1,8,no,NA
RSm8,SGE1,NSPF1,0,yes,2019-04-30
RAi10,SGE1,NSPF2,0,yes,2019-03-14
RBm7,SGE1,NSPF2,21,no,NA
REd8,SGE1,NSPF2,0,no,NA
RPh7,SGE1,NSPF2,17,no,NA
RRn9,SGE1,NSPF2,0,no,NA
RCl13,SGE1,NSPF3,12,no,NA
RGq10,SGE1,NSPF3,10,no,NA
RIk6,SGE1,NSPF3,11,yes,2018-12-10
RLm8,SGE1,NSPF3,0,no,NA
RLo9,SGE1,NSPF3,0,no,NA
RIv8,SGE1,NSPF4,26,no,NA
RPt8,SGE1,NSPF4,0,no,NA
RTm13,SGE1,NSPF4,0,no,NA
RTr13,SGE1,NSPF4,0,no,NA
RGu10,SGE1,NSPF4,0,no,NA
DV2J,SGE1,NSPF5,28,no,NA
RCv9,SGE1,NSPF5,12,no,NA
RFn14,SGE1,NSPF5,0,no,NA
RPz13,SGE1,NSPF5,36,yes,2019-01-08
RWm14,SGE1,NSPF5,7,no,NA
RHt8,SGE1,SPF1,0,no,NA
RQt8,SGE1,SPF1,3,no,NA
RSd4,SGE1,SPF1,13,no,NA
RSs10,SGE1,SPF1,1,no,NA
RYz6,SGE1,SPF1,21,no,NA
77_06,SGE1,SPF2 ,0,no,NA
JVA,SGE1,SPF2 ,8,no,NA
RGl11,SGE1,SPF2 ,23,no,NA
RJe11,SGE1,SPF2 ,32,no,NA
RKk13,SGE1,SPF2 ,46,no,NA
RBw12,SGE1,SPF3,0,no,NA
RGa13,SGE1,SPF3,0,no,NA
RMi12,SGE1,SPF3,53,no,NA
RVt12,SGE1,SPF3,32,no,NA
RYr14,SGE1,SPF3,0,no,NA
RFy11,SGE1,SPF4,0,no,NA
RMg12,SGE1,SPF4,0,no,NA
RNn10,SGE1,SPF4,24,no,NA
RTa11,SGE1,SPF4,0,no,NA
RAz15,SGE1,SPF5,17,no,NA
RCg16,SGE1,SPF5,0,no,NA
RDj15,SGE1,SPF5,0,no,NA
REt12,SGE1,SPF5,16,no,NA
RFw12,SGE1,SPF5,0,no,NA
RFn14,SGE2,NSPF1,0,no,NA
RLm8,SGE2,NSPF1,49,no,NA
RRn9,SGE2,NSPF1,43,no,NA
RGu10,SGE2,NSPF1,0,no,NA
RCl13,SGE2,NSPF2,0,no,NA
RCv9,SGE2,NSPF2,0,no,NA
REd8,SGE2,NSPF2,0,no,NA
RPt8,SGE2,NSPF2,47,yes,2020-01-27
RRz6,SGE2,NSPF2,0,no,NA
RBi10,SGE2,NSPF3,0,no,NA
RNp9,SGE2,NSPF3,0,no,NA
RPh7,SGE2,NSPF3,48,no,NA
RTr13,SGE2,NSPF3,14,no,NA
RWm14,SGE2,NSPF3,0,no,NA
RBm7,SGE2,NSPF4,0,no,NA
RDj7,SGE2,NSPF4,0,yes,2020-09-02
RLo9,SGE2,NSPF4,0,no,NA
RTm13,SGE2,NSPF4,0,no,NA
RVh7,SGE2,NSPF4,16,no,NA
DV2J,SGE2,NSPF5,13,no,NA
RFi9,SGE2,NSPF5,0,no,NA
RGq10,SGE2,NSPF5,0,no,NA
RIv8,SGE2,NSPF5,0,no,NA
RMd11,SGE2,NSPF5,0,no,NA
RAz15,SGE2,SPF1,0,no,NA
RKk13,SGE2,SPF1,19,no,NA
RMi12,SGE2,SPF1,56,yes,2020-04-14
RNn10,SGE2,SPF1,54,yes,2020-02-03
RSd4,SGE2,SPF1,4,yes,2019-07-29
RCg16,SGE2,SPF2,0,yes,2019-07-03
RFy11,SGE2,SPF2,0,no,NA
RJe11,SGE2,SPF2,0,no,NA
RQt8,SGE2,SPF2,0,yes,2019-07-03
RYr14,SGE2,SPF2,5,no,NA
REt12,SGE2,SPF3,0,no,NA
RGa13,SGE2,SPF3,0,yes,2021-03-26
RGl11,SGE2,SPF3,9,yes,2020-02-27
RMg12,SGE2,SPF3,0,no,NA
RYz6,SGE2,SPF3,45,no,NA
77_06,SGE2,SPF4,74,yes,2019-12-10
RBw12,SGE2,SPF4,0,no,NA
RFw12,SGE2,SPF4,0,no,NA
RHt8,SGE2,SPF4,4,no,NA
JVA,SGE2,SPF5,0,no,NA
RDj15,SGE2,SPF5,12,no,NA
RSs10,SGE2,SPF5,0,no,NA
RTa11,SGE2,SPF5,0,no,NA
RVt12,SGE2,SPF5,11,no,NA