DOB,SampleDate,Individual,sampleAge
5/1/08,10/2/18,DVJ2,10.42
5/15/96,7/11/18,JVA,22.15
5/3/06,7/11/18,R7706,12.19
3/29/04,6/25/18,RAi10,14.24
5/5/13,9/24/18,RAz15,5.39
3/29/04,9/26/18,RBi10,14.49
4/10/00,6/25/18,RBm7,18.21
6/21/08,10/11/18,RBw12,10.31
7/12/13,9/24/18,RCg16,5.20
5/13/09,6/21/18,RCl13,9.11
5/8/03,10/2/18,RCv9,15.40
5/13/12,9/24/18,RDj15,6.37
4/4/01,6/25/18,REd8,17.22
5/17/08,9/24/18,REt12,10.35
4/23/11,10/2/18,RFn14,7.44
6/23/08,9/24/18,RFw12,10.25
4/14/07,10/9/18,RFy11,11.49
3/12/09,10/11/18,RGa13,9.58
4/12/06,7/11/18,RGl11,12.25
5/14/04,6/21/18,RGq10,14.10
6/16/04,7/9/18,RGu10,14.06
8/14/01,6/27/18,RHt8,16.87
5/14/97,9/26/18,RIe6,21.37
3/28/98,6/21/18,RIk6,20.23
3/19/02,7/9/18,RIv8,16.31
5/9/05,7/11/18,RJe11,13.17
5/8/09,7/11/18,RKk13,9.17
5/10/01,6/21/18,RLm8,17.11
4/3/03,6/21/18,RLo9,15.22
7/12/07,10/9/18,RMg12,11.24
8/22/07,10/11/18,RMi12,11.14
4/28/04,10/9/18,RNn10,14.45
6/26/99,6/25/18,RPh7,19.00
8/26/01,7/9/18,RPt8,16.87
5/2/10,10/2/18,RPz13,8.42
8/20/01,6/27/18,RQt8,16.85
6/13/96,9/26/18,RQv5,22.29
3/25/03,6/25/18,RRn9,15.25
4/18/99,9/26/18,RRz6,19.44
4/12/93,6/27/18,RSd4,25.21
5/10/01,9/26/18,RSm8,17.38
6/2/04,6/27/18,RSs10,14.07
4/10/05,10/9/18,RTa11,13.50
5/23/09,7/9/18,RTm13,9.13
9/12/09,7/9/18,RTr13,8.82
5/27/08,10/11/18,RVt12,10.37
4/20/11,10/2/18,RWm14,7.45
5/26/11,10/11/18,RYr14,7.38
4/19/99,6/27/18,RYz6,19.19