animal,group,seasonEnvChall,dateSingleCell,dateEnvChall,dateVax
77_06,SPF2,summer,2018-10-10,2018-07-11,2019-01-22
DV2J,NSPF5,fall,2018-10-15,2018-10-02,2019-02-11
JVA,SPF2,summer,2018-10-10,2018-07-11,2019-01-22
RAi10,NSPF2,summer,2018-10-01,2018-06-25,2019-02-05
RAz15,SPF5,fall,2018-10-09,2018-09-24,2019-01-28
RBm7,NSPF2,summer,2018-10-01,2018-06-25,2019-02-05
RBw12,SPF3,fall,2018-10-18,2018-10-11,2019-01-28
RCl13,NSPF3,summer,2018-10-04,2018-06-21,2019-02-11
RCv9,NSPF5,fall,NA,2018-10-02,2019-02-11
REt12,SPF5,fall,2018-10-09,2018-09-24,2019-01-28
RGl11,SPF2,summer,2018-10-10,2018-07-11,2019-01-22
RGq10,NSPF3,summer,2018-10-04,2018-06-21,2019-02-11
RIe6,NSPF1,fall,2018-10-05,2018-09-26,2019-02-05
RIk6,NSPF3,summer,2018-10-04,2018-06-21,NA
RIv8,NSPF4,summer,NA,2018-07-09,2019-02-11
RJe11,SPF2,summer,2018-10-10,2018-07-11,2019-01-22
RKk13,SPF2,summer,2018-10-10,2018-07-11,2019-01-22
RMi12,SPF3,fall,NA,2018-10-11,2019-01-22
RNn10,SPF4,fall,2018-10-17,2018-10-09,2019-01-28
RPh7,NSPF2,summer,2018-10-01,2018-06-25,2019-02-05
RPz13,NSPF5,fall,2018-10-15,2018-10-02,NA
RQt8,SPF1,summer,2018-10-03,2018-06-27,2019-01-22
RQv5,NSPF1,fall,2018-10-05,2018-09-26,2019-02-05
RRz6,NSPF1,fall,2018-10-05,2018-09-26,2019-02-05
RSd4,SPF1,summer,2018-10-03,2018-06-27,2019-01-22
RSs10,SPF1,summer,2018-10-03,2018-06-27,2019-01-22
RWm14,NSPF5,fall,2018-10-15,2018-10-02,2019-02-11
RYz6,SPF1,summer,2018-10-03,2018-06-27,2019-01-22
RDj15,SPF5,fall,2018-10-09,2018-09-24,2019-01-28
RFn14,NSPF5,fall,NA,2018-10-02,2019-02-11
RFw12,SPF5,fall,2018-10-09,2018-09-24,2019-01-28
RFy11,SPF4,fall,2018-10-17,2018-10-09,2019-01-28
RGa13,SPF3,fall,2018-10-18,2018-10-11,2019-01-28
RGu10,NSPF4,summer,2018-10-12,2018-07-09,2019-02-11
RHt8,SPF1,summer,2018-10-03,2018-06-27,2019-01-22
RLm8,NSPF3,summer,2018-10-04,2018-06-21,2019-02-11
RPt8,NSPF4,summer,2018-10-12,2018-07-09,2019-02-11
RRn9,NSPF2,summer,2018-10-01,2018-06-25,2019-02-05
RTr13,NSPF4,summer,2018-10-12,2018-07-09,2019-02-11
RVt12,SPF3,fall,2018-10-18,2018-10-11,2019-01-28
RBi10,NSPF1,fall,2018-10-05,2018-09-26,2019-02-05
RCg16,SPF5,fall,2018-10-09,2018-09-24,2019-01-28
REd8,NSPF2,summer,2018-10-01,2018-06-25,2019-02-05
RLo9,NSPF3,summer,2018-10-04,2018-06-21,2019-02-11
RMg12,SPF4,fall,2018-10-17,2018-10-09,2019-01-28
RSm8,NSPF1,fall,2018-10-05,2018-09-26,2019-02-05
RTa11,SPF4,fall,2018-10-17,2018-10-09,2019-01-28
RTm13,NSPF4,summer,2018-10-12,2018-07-09,2019-02-11
RYr14,SPF3,fall,2018-10-18,2018-10-11,2019-01-28